[2026-07-07T06:06:26.557Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/l28/ → 200 (281ms, 1871B)
[2026-07-07T06:06:26.558Z] GET https://www.google.com/recaptcha/api.js?render=6LcIxO8sAAAAAKcaeJOtScQGH8zWW6ttbAt9hRxm → 200 (1ms, -680B)
[2026-07-07T06:06:26.570Z] GET https://connect.facebook.net/signals/config/3279494272146114?v=2.9.349&r=stable&domain=joetay.com&hme=f29d86973612db0f0627890a64bdc8c47b471189050b33f2680b7d76997afc9a&ex_m=107%2C208%2C158%2C22%2C73%2C74%2C149%2C69%2C68%2C11%2C167%2C93%2C16%2C141%2C130%2C39%2C76%2C81%2C137%2C163%2C169%2C8%2C4%2C5%2C7%2C6%2C3%2C94%2C104%2C170%2C175%2C222%2C30%2C75%2C234%2C233%2C232%2C23%2C33%2C55%2C106%2C61%2C10%2C64%2C100%2C101%2C102%2C108%2C133%2C31%2C29%2C135%2C136%2C132%2C131%2C159%2C77%2C162%2C160%2C161%2C50%2C60%2C126%2C15%2C166%2C45%2C279%2C280%2C278%2C26%2C27%2C28%2C48%2C150%2C78%2C115%2C18%2C20%2C44%2C40%2C42%2C41%2C86%2C95%2C99%2C113%2C148%2C151%2C46%2C114%2C24%2C21%2C122%2C70%2C36%2C153%2C152%2C154%2C145%2C143%2C25%2C35%2C59%2C112%2C165%2C71%2C17%2C156%2C117%2C84%2C67%2C19%2C88%2C89%2C119%2C87%2C139%2C138%2C142%2C164%2C34%2C293%2C309%2C215%2C204%2C62%2C205%2C203%2C312%2C303%2C52%2C216%2C110%2C134%2C83%2C124%2C54%2C47%2C49%2C116%2C123%2C129%2C128%2C58%2C65%2C63%2C155%2C79%2C80%2C118%2C37%2C32%2C53%2C56%2C103%2C168%2C1%2C127%2C14%2C125%2C12%2C2%2C57%2C96%2C66%2C121%2C92%2C91%2C171%2C172%2C97%2C98%2C9%2C105%2C51%2C146%2C90%2C82%2C72%2C120%2C109%2C43%2C147%2C0%2C85%2C140%2C144%2C157%2C38%2C111%2C13%2C173 → 200 (2ms, -3898B)
[2026-07-07T06:06:26.609Z] GET https://www.gstatic.com/recaptcha/releases/TnA7HacJFoBWt9hnlunBlYfK/recaptcha__en.js → 200 (34ms, -889B)
[2026-07-07T06:06:26.612Z] GET https://www.facebook.com/tr/?id=3279494272146114&ev=PageView&dl=https%3A%2F%2Fjoetay.com%2Fnew-launches%2Fnewport-residences&rl=&if=false&ts=1783404386607&iw=false&sw=1280&sh=800&v=2.9.349&r=stable&ec=0&o=156&it=1783404386558&coo=false&expv2[0]=pl0&expv2[1]=el3&expv2[2]=bc1&expv2[3]=ra0&expv2[4]=rp0&expv2[5]=im0&expv2[6]=hf1&rqm=GET → 200 (6ms, 125B)
[2026-07-07T06:06:26.654Z] GET https://www.google.com/recaptcha/api2/anchor?ar=1&k=6LcIxO8sAAAAAKcaeJOtScQGH8zWW6ttbAt9hRxm&co=aHR0cHM6Ly9qb2V0YXkuY29tOjQ0Mw..&hl=en&v=TnA7HacJFoBWt9hnlunBlYfK&size=invisible&anchor-ms=20000&execute-ms=30000&cb=b7ip8oye5zza → 200 (18ms, 28497B)
[2026-07-07T06:06:26.677Z] GET https://www.gstatic.com/recaptcha/releases/TnA7HacJFoBWt9hnlunBlYfK/styles__ltr.css → 200 (1ms, -848B)
[2026-07-07T06:06:26.678Z] GET https://www.gstatic.com/recaptcha/releases/TnA7HacJFoBWt9hnlunBlYfK/recaptcha__en.js → 200 (32ms, -889B)
[2026-07-07T06:06:26.787Z] GET https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=TnA7HacJFoBWt9hnlunBlYfK → 200 (15ms, -837B)
[2026-07-07T06:06:26.796Z] GET https://fonts.gstatic.com/s/roboto/v48/KFO7CnqEu92Fr1ME7kSn66aGLdTylUAMa3yUBHMdazQ.woff2 → 200 (?ms, -815B)
[2026-07-07T06:06:26.796Z] GET https://www.gstatic.com/recaptcha/api2/logo_48.png → 200 (1ms, -776B)
[2026-07-07T06:06:26.802Z] GET https://www.gstatic.com/recaptcha/releases/TnA7HacJFoBWt9hnlunBlYfK/recaptcha__en.js → 200 (104ms, -889B)
[2026-07-07T06:06:26.840Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/l34/pano2vr_player.js?ts=64721208 → 200 (90ms, 98757B)
[2026-07-07T06:06:26.840Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/l34/skin.js?ts=64721208 → 200 (48ms, 8678B)
[2026-07-07T06:06:26.842Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/l23/pano2vr_player.js?ts=64653833 → 200 (396ms, 98758B)
[2026-07-07T06:06:26.843Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/l23/skin.js?ts=64653833 → 200 (45ms, 8679B)
[2026-07-07T06:06:26.846Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/l28/pano2vr_player.js?ts=64694340 → 200 (394ms, 98766B)
[2026-07-07T06:06:26.846Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/l28/skin.js?ts=64694340 → 200 (52ms, 8678B)
[2026-07-07T06:06:26.900Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cp1/pano2vr_player.js?ts=59486635 → 200 (399ms, 98757B)
[2026-07-07T06:06:26.900Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cp1/skin.js?ts=59486635 → 200 (345ms, 78294B)
[2026-07-07T06:06:26.900Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cp1/assets/styles.css → 404 (38ms, ?B)
[2026-07-07T06:06:26.900Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cp1/3rdparty/leaflet/leaflet.css → 200 (38ms, 4175B)
[2026-07-07T06:06:26.900Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cp1/3rdparty/lottie/lottie.min.js → 200 (344ms, 75186B)
[2026-07-07T06:06:26.900Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cp1/3rdparty/leaflet/leaflet.js → 200 (343ms, 49373B)
[2026-07-07T06:06:26.909Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cps1/pano2vr_player.js?ts=60016638 → 200 (389ms, 98767B)
[2026-07-07T06:06:26.909Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cps1/skin.js?ts=60016638 → 200 (335ms, 82253B)
[2026-07-07T06:06:26.909Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cps1/assets/styles.css → 404 (328ms, ?B)
[2026-07-07T06:06:26.909Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cps1/3rdparty/leaflet/leaflet.css → 200 (328ms, 4175B)
[2026-07-07T06:06:26.909Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cps1/3rdparty/lottie/lottie.min.js → 200 (394ms, 75186B)
[2026-07-07T06:06:26.909Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cps1/3rdparty/leaflet/leaflet.js → 200 (335ms, 49373B)
[2026-07-07T06:06:26.912Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/aerial_dev/pano2vr_player.js?ts=61903084 → 200 (394ms, 98766B)
[2026-07-07T06:06:26.912Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/aerial_dev/skin.js?ts=61903084 → 200 (391ms, 125691B)
[2026-07-07T06:06:26.925Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/aerial/pano2vr_player.js?ts=61903084 → 200 (378ms, 98766B)
[2026-07-07T06:06:26.925Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/aerial/skin.js?ts=61903084 → 200 (377ms, 125691B)
[2026-07-07T06:06:27.237Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/l34/images/image_5.png → 200 (60ms, 80619B)
[2026-07-07T06:06:27.329Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/l23/images/image_5.png → 200 (74ms, 80618B)
[2026-07-07T06:06:27.347Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/l28/images/image_5.png → 200 (56ms, 80618B)
[2026-07-07T06:06:27.477Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/aerial/images/menu_bar.png → pending (?ms, ?B)
[2026-07-07T06:06:27.478Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/aerial/images/image_6.png → pending (?ms, ?B)
[2026-07-07T06:06:27.507Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/aerial_dev/images/menu_bar.png → 200 (57ms, 15849B)
[2026-07-07T06:06:27.507Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/aerial_dev/images/image_6.png → 200 (57ms, 11745B)
[2026-07-07T06:06:27.508Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/l34/pano.xml?ts=64721208 → 200 (201ms, 4331B)
[2026-07-07T06:06:27.600Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cps1/images/logo0.png → 200 (70ms, 51286B)
[2026-07-07T06:06:27.600Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cps1/images/image_4.png → 200 (38ms, 38407B)
[2026-07-07T06:06:27.600Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cps1/images/txtdis.png → 200 (70ms, 44338B)
[2026-07-07T06:06:27.600Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cps1/images/txtmob.png → 200 (70ms, 42098B)
[2026-07-07T06:06:27.600Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cps1/images/logo.png → 200 (39ms, 78341B)
[2026-07-07T06:06:27.600Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cps1/images/unit_type.png → 200 (42ms, 31483B)
[2026-07-07T06:06:27.638Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cp1/images/logo0.png → 200 (71ms, 51286B)
[2026-07-07T06:06:27.638Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cp1/images/image_2.jpg → 200 (69ms, 772162B)
[2026-07-07T06:06:27.638Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cp1/images/image_4.png → 200 (72ms, 39088B)
[2026-07-07T06:06:27.638Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cp1/images/txtdis.png → 200 (72ms, 44338B)
[2026-07-07T06:06:27.638Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cp1/images/txtmob.png → 200 (69ms, 42097B)
[2026-07-07T06:06:27.638Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cp1/images/logo.png → 200 (69ms, 78341B)
[2026-07-07T06:06:27.638Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cp1/images/unit_type.png → 200 (72ms, 25850B)
[2026-07-07T06:06:27.708Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/l23/pano.xml?ts=64653833 → 200 (105ms, 4331B)
[2026-07-07T06:06:27.708Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/l28/pano.xml?ts=64694340 → 200 (111ms, 4331B)
[2026-07-07T06:06:27.709Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/l34/tiles/node1/cf_6/l_0/c_0/tile_0.jpg?ts=64721208 → 200 (34ms, 7161B)
[2026-07-07T06:06:27.716Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cps1/fonts/Brother-1816-Medium.ttf → 200 (417ms, 4436250B)
[2026-07-07T06:06:27.762Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cp1/fonts/Brother-1816-Medium.ttf → 200 (706ms, 4436250B)
[2026-07-07T06:06:27.805Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/aerial/pano.xml?ts=61903084 → 200 (113ms, 9430B)
[2026-07-07T06:06:27.806Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/aerial_dev/pano.xml?ts=61903084 → 200 (76ms, 9430B)
[2026-07-07T06:06:27.814Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/l23/tiles/node1/cf_6/l_0/c_0/tile_0.jpg?ts=64653833 → 200 (70ms, 7300B)
[2026-07-07T06:06:27.819Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/l28/tiles/node1/cf_6/l_0/c_0/tile_0.jpg?ts=64694340 → 200 (32ms, 7308B)
[2026-07-07T06:06:27.884Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/aerial_dev/fonts/Brother-1816-Medium.ttf → pending (?ms, ?B)
[2026-07-07T06:06:27.884Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/aerial_dev/tiles/node1/cf_6/l_0/c_0/tile_0.jpg?ts=61903084 → 200 (35ms, 6913B)
[2026-07-07T06:06:27.918Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/aerial/fonts/Brother-1816-Medium.ttf → pending (?ms, ?B)
[2026-07-07T06:06:27.918Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/aerial/tiles/node1/cf_6/l_0/c_0/tile_0.jpg?ts=61903084 → 200 (40ms, 6984B)
[2026-07-07T06:06:28.134Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cps1/fonts/Brother-1816-Medium.woff → pending (?ms, ?B)
[2026-07-07T06:06:28.470Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cp1/fonts/Brother-1816-Medium.woff → pending (?ms, ?B)
[2026-07-07T06:06:28.791Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/aerial_dev/fonts/Brother-1816-Medium.woff → pending (?ms, ?B)
[2026-07-07T06:06:29.129Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/aerial/fonts/Brother-1816-Medium.woff → pending (?ms, ?B)
[2026-07-07T06:06:29.445Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cps1/fonts/Brother-1816-Medium.woff2 → pending (?ms, ?B)
[2026-07-07T06:06:29.768Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cp1/fonts/Brother-1816-Medium.woff2 → pending (?ms, ?B)
[2026-07-07T06:06:30.068Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/aerial_dev/fonts/Brother-1816-Medium.woff2 → pending (?ms, ?B)
[2026-07-07T06:06:30.387Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/aerial/fonts/Brother-1816-Medium.woff2 → pending (?ms, ?B)
[2026-07-07T06:06:30.705Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cps1/pano.xml?ts=60016638 → 200 (61ms, 22547B)
[2026-07-07T06:06:30.766Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cps1/images/lottie_2.json → 200 (7ms, 1823B)
[2026-07-07T06:06:30.766Z] GET https://vmwgrp.synology.me/CDL_FujiXerox/export/3br-cps1/images/lottie_34.json → 200 (7ms, 1820B)
